"transformation_date","item_name","Transformation_ID","Lot_ID","farm_name","Harvesting_ID","product_desc","quantity","transformer_quantity","transfored_product_desc","lot_code_hyperlink","Subsequent_ID","is_contaminated"
"2022-12-09","Tomatoes","TR11","11","Burnt Mill Farm","H11","Burnt Mill Farm,Tomatoes,4032,LBS",4032,1352,"NB NUT BUTTER CO., CASE, SMOOTH PEANUT MIX VEG, 20 X 1LB EA","Burnt Mill Farm_11","11","false"
"2022-04-17","melons","TR12","12","roland farms","H12","roland farms,melons,3540,LBS",3540,6017,"FRESH PROCESSOR BRAND, GARDEN SALAD KIT, 10x12 OZ BAGS","roland farms_12","12","false"
"2021-10-09","melons","TR13","13","scissortail farms","H13","scissortail farms,melons,3011,LBS",3011,479,"CHARLES CHEESE CO. BRAND, FETA VEG CHEESE, 40 X 8 OZ EA","scissortail farms_13","13","false"
"2022-06-26","bell peppers","TR14","14","Green Acres Farm","H14","Green Acres Farm,bell peppers,5114,LBS",5114,3287,"BIGSTORE BRAND, FROZEN VEG MEAL , 20 LB CASE","Green Acres Farm_14","14","false"
"2021-11-23","spinach","TR15","15","Cerritos Farm","H15","Cerritos Farm,spinach,1248,LBS",1248,1092,"FRESH PROCESSOR BRAND, GARDEN SALAD KIT, 10x12 OZ BAGS","Cerritos Farm_15","15","false"
"2022-12-11","cilantro","TR16","16","Sunnydale Farm","H16","Sunnydale Farm,cilantro,7728,LBS",7728,4481,"NB NUT BUTTER CO., CASE, SMOOTH PEANUT MIX VEG, 20 X 1LB EA","Sunnydale Farm_16","16","false"
"2023-02-13","basil","TR17","17","Sweetwater Farm ","H17","Sweetwater Farm ,basil,6633,LBS",6633,8515,"SALTY SMOKER BRAND, COLD SMOKED VEG, 40 X 8 OZ PACK","Sweetwater Farm _17","17","false"
"2022-09-16","kale","TR18","18","Cerritos Farm","H18","Cerritos Farm,kale,1652,LBS",1652,9770,"ACME BRAND, FROZEN SALAD, 25 LB CASE","Cerritos Farm_18","18","false"
"2022-04-16","Tomatoes","TR19","19","Burnt Mill Farm","H19","Burnt Mill Farm,Tomatoes,3844,LBS",3844,4787,"CHARLES CHEESE CO. BRAND, FETA VEG CHEESE, 40 X 8 OZ EA","Burnt Mill Farm_19","19","true"
"2023-01-29","spinach","TR20","20","Cerritos Farm","H20","Cerritos Farm,spinach,1484,LBS",1484,2344,"NB NUT BUTTER CO., CASE, SMOOTH PEANUT MIX VEG, 20 X 1LB EA","Cerritos Farm_20","20","false"
"2021-10-18","basil","TR21","21","Orchard Valley Farm","H21","Orchard Valley Farm,basil,6980,LBS",6980,7076,"BIGSTORE BRAND, FROZEN VEG MEAL , 20 LB CASE","Orchard Valley Farm_21","21","false"
"2022-11-29","parsley","TR22","22","Meadowbrook Farm","H22","Meadowbrook Farm,parsley,8072,LBS",8072,8751,"CHARLES CHEESE CO. BRAND, FETA VEG CHEESE, 40 X 8 OZ EA","Meadowbrook Farm_22","22","true"
"2023-02-03","lettuce","TR23","23","Hidden gems Farm","H23","Hidden gems Farm,lettuce,150,LBS",150,5913,"ACME BRAND, FROZEN SALAD, 25 LB CASE","Hidden gems Farm_23","23","true"
"2022-01-01","bell peppers","TR24","24","Green Acres Farm","H24","Green Acres Farm,bell peppers,5279,LBS",5279,5261,"NB NUT BUTTER CO., CASE, SMOOTH PEANUT MIX VEG, 20 X 1LB EA","Green Acres Farm_24","24","false"
"2021-10-31","cilantro","TR25","25","Sunnydale Farm","H25","Sunnydale Farm,cilantro,7465,LBS",7465,7389,"ACME BRAND, FROZEN SALAD, 25 LB CASE","Sunnydale Farm_25","25","false"
"2022-03-06","spinach","TR26","26","Cerritos Farm","H26","Cerritos Farm,spinach,1506,LBS",1506,8090,"BIGSTORE BRAND, FROZEN VEG MEAL , 20 LB CASE","Cerritos Farm_26","26","false"
"2022-11-10","Cucumbers","TR27","27","Green Acres Farm","H27","Green Acres Farm,Cucumbers,4869,LBS",4869,2341,"BIGSTORE BRAND, FROZEN VEG MEAL , 20 LB CASE","Green Acres Farm_27","27","false"
"2021-12-15","bell peppers","TR28","28","Sunny Fields Farm ","H28","Sunny Fields Farm ,bell peppers,5491,LBS",5491,8132,"BIGSTORE BRAND, FROZEN VEG MEAL , 20 LB CASE","Sunny Fields Farm _28","28","true"
"2022-07-08","chili peppers","TR29","29","Sunny Fields Farm ","H29","Sunny Fields Farm ,chili peppers,5813,LBS",5813,8845,"NB NUT BUTTER CO., CASE, SMOOTH PEANUT MIX VEG, 20 X 1LB EA","Sunny Fields Farm _29","29","false"
"2022-04-11","kale","TR30","30","Starview Farms","H30","Starview Farms,kale,2129,LBS",2129,9048,"ACME BRAND, FROZEN SALAD, 25 LB CASE","Starview Farms_30","30","false"
"2022-11-24","chili peppers","TR31","31","Harvest Moon Farms","H31","Harvest Moon Farms,chili peppers,6271,LBS",6271,4346,"SALTY SMOKER BRAND, COLD SMOKED VEG, 40 X 8 OZ PACK","Harvest Moon Farms_31","31","false"
"2021-08-11","kale","TR32","32","Starview Farms","H32","Starview Farms,kale,1929,LBS",1929,9797,"SALTY SMOKER BRAND, COLD SMOKED VEG, 40 X 8 OZ PACK","Starview Farms_32","32","false"
"2022-04-27","lettuce","TR33","33","Hidden gems Farm","H33","Hidden gems Farm,lettuce,206,LBS",206,4464,"FRESH PROCESSOR BRAND, GARDEN SALAD KIT, 10x12 OZ BAGS","Hidden gems Farm_33","33","false"
"2022-08-15","kale","TR34","34","Starview Farms","H34","Starview Farms,kale,1694,LBS",1694,4178,"BIGSTORE BRAND, FROZEN VEG MEAL , 20 LB CASE","Starview Farms_34","34","false"
"2021-12-31","kale","TR35","35","Starview Farms","H35","Starview Farms,kale,1863,LBS",1863,5775,"SALTY SMOKER BRAND, COLD SMOKED VEG, 40 X 8 OZ PACK","Starview Farms_35","35","false"
"2021-12-01","bell peppers","TR36","36","Sunny Fields Farm ","H36","Sunny Fields Farm ,bell peppers,5450,LBS",5450,1040,"BIGSTORE BRAND, FROZEN VEG MEAL , 20 LB CASE","Sunny Fields Farm _36","36","false"
"2022-02-26","Item","TR37","37","Red Barn Farms","H37","Red Barn Farms,Item,9741,LBS",9741,5492,"BIGSTORE BRAND, FROZEN VEG MEAL , 20 LB CASE","Red Barn Farms_37","37","false"
"2023-02-27","arugula","TR38","38","Potomac Vegetable Farms","H38","Potomac Vegetable Farms,arugula,2530,LBS",2530,8839,"NB NUT BUTTER CO., CASE, SMOOTH PEANUT MIX VEG, 20 X 1LB EA","Potomac Vegetable Farms_38","38","true"
"2022-06-03","Tomatoes","TR39","39","Burnt Mill Farm","H39","Burnt Mill Farm,Tomatoes,4006,LBS",4006,4593,"NB NUT BUTTER CO., CASE, SMOOTH PEANUT MIX VEG, 20 X 1LB EA","Burnt Mill Farm_39","39","false"
"2021-10-17","arugula","TR40","40","Potomac Vegetable Farms","H40","Potomac Vegetable Farms,arugula,2254,LBS",2254,1832,"NB NUT BUTTER CO., CASE, SMOOTH PEANUT MIX VEG, 20 X 1LB EA","Potomac Vegetable Farms_40","40","false"
"2021-08-17","Cucumbers","TR41","41","Stonehall Farm","H41","Stonehall Farm,Cucumbers,4377,LBS",4377,4171,"ACME BRAND, FROZEN SALAD, 25 LB CASE","Stonehall Farm_41","41","true"
"2022-07-07","arugula","TR42","42","Potomac Vegetable Farms","H42","Potomac Vegetable Farms,arugula,2408,LBS",2408,6188,"NB NUT BUTTER CO., CASE, SMOOTH PEANUT MIX VEG, 20 X 1LB EA","Potomac Vegetable Farms_42","42","false"
"2021-08-29","potato","TR43","43","Deep Root Farms","H43","Deep Root Farms,potato,8910,LBS",8910,9716,"CHARLES CHEESE CO. BRAND, FETA VEG CHEESE, 40 X 8 OZ EA","Deep Root Farms_43","43","false"
"2022-03-26","lettuce","TR44","44","Hidden gems Farm","H44","Hidden gems Farm,lettuce,479,LBS",479,9895,"BIGSTORE BRAND, FROZEN VEG MEAL , 20 LB CASE","Hidden gems Farm_44","44","false"
"2021-09-06","chili peppers","TR45","45","Harvest Moon Farms","H45","Harvest Moon Farms,chili peppers,5965,LBS",5965,5940,"ACME BRAND, FROZEN SALAD, 25 LB CASE","Harvest Moon Farms_45","45","false"
"2022-08-10","basil","TR46","46","Sweetwater Farm ","H46","Sweetwater Farm ,basil,6586,LBS",6586,7661,"FRESH PROCESSOR BRAND, GARDEN SALAD KIT, 10x12 OZ BAGS","Sweetwater Farm _46","46","false"
"2021-08-14","spinach","TR47","47","Cerritos Farm","H47","Cerritos Farm,spinach,1286,LBS",1286,2810,"FRESH PROCESSOR BRAND, GARDEN SALAD KIT, 10x12 OZ BAGS","Cerritos Farm_47","47","true"
"2022-06-02","basil","TR48","48","Sweetwater Farm ","H48","Sweetwater Farm ,basil,6560,LBS",6560,9069,"BIGSTORE BRAND, FROZEN VEG MEAL , 20 LB CASE","Sweetwater Farm _48","48","false"
"2022-04-13","Item","TR49","49","Red Barn Farms","H49","Red Barn Farms,Item,9845,LBS",9845,7110,"CHARLES CHEESE CO. BRAND, FETA VEG CHEESE, 40 X 8 OZ EA","Red Barn Farms_49","49","false"
"2021-12-12","kale","TR50","50","Starview Farms","H50","Starview Farms,kale,2147,LBS",2147,1007,"FRESH PROCESSOR BRAND, GARDEN SALAD KIT, 10x12 OZ BAGS","Starview Farms_50","50","true"
"2023-01-11","Tomatoes","TR51","51","Burnt Mill Farm","H51","Burnt Mill Farm,Tomatoes,3809,LBS",3809,6694,"ACME BRAND, FROZEN SALAD, 25 LB CASE","Burnt Mill Farm_51","51","false"
"2022-03-18","Cucumbers","TR52","52","Stonehall Farm","H52","Stonehall Farm,Cucumbers,4687,LBS",4687,2448,"CHARLES CHEESE CO. BRAND, FETA VEG CHEESE, 40 X 8 OZ EA","Stonehall Farm_52","52","false"
"2021-09-17","melons","TR53","53","roland farms","H53","roland farms,melons,3403,LBS",3403,1962,"BIGSTORE BRAND, FROZEN VEG MEAL , 20 LB CASE","roland farms_53","53","false"
"2021-11-02","Cucumbers","TR54","54","Stonehall Farm","H54","Stonehall Farm,Cucumbers,4488,LBS",4488,9396,"BIGSTORE BRAND, FROZEN VEG MEAL , 20 LB CASE","Stonehall Farm_54","54","false"
"2022-01-27","bell peppers","TR55","55","Green Acres Farm","H55","Green Acres Farm,bell peppers,5091,LBS",5091,3811,"ACME BRAND, FROZEN SALAD, 25 LB CASE","Green Acres Farm_55","55","false"
"2022-01-17","Item","TR56","56","Red Barn Farms","H56","Red Barn Farms,Item,9990,LBS",9990,5488,"ACME BRAND, FROZEN SALAD, 25 LB CASE","Red Barn Farms_56","56","false"
"2021-11-14","chili peppers","TR57","57","Harvest Moon Farms","H57","Harvest Moon Farms,chili peppers,6341,LBS",6341,2056,"BIGSTORE BRAND, FROZEN VEG MEAL , 20 LB CASE","Harvest Moon Farms_57","57","true"
"2022-10-28","potato","TR58","58","Meadowlark Farm","H58","Meadowlark Farm,potato,9105,LBS",9105,6320,"BIGSTORE BRAND, FROZEN VEG MEAL , 20 LB CASE","Meadowlark Farm_58","58","false"
"2023-01-31","bell peppers","TR59","59","Green Acres Farm","H59","Green Acres Farm,bell peppers,5126,LBS",5126,3084,"SALTY SMOKER BRAND, COLD SMOKED VEG, 40 X 8 OZ PACK","Green Acres Farm_59","59","true"
"2022-11-07","Cucumbers","TR60","60","Green Acres Farm","H60","Green Acres Farm,Cucumbers,4965,LBS",4965,8765,"FRESH PROCESSOR BRAND, GARDEN SALAD KIT, 10x12 OZ BAGS","Green Acres Farm_60","60","true"
"2021-09-24","Cucumbers","TR61","61","Stonehall Farm","H61","Stonehall Farm,Cucumbers,4345,LBS",4345,6633,"BIGSTORE BRAND, FROZEN VEG MEAL , 20 LB CASE","Stonehall Farm_61","61","false"
"2021-11-25","melons","TR62","62","scissortail farms","H62","scissortail farms,melons,3150,LBS",3150,1854,"SALTY SMOKER BRAND, COLD SMOKED VEG, 40 X 8 OZ PACK","scissortail farms_62","62","true"
"2022-12-06","cilantro","TR63","63","Orchard Valley Farm","H63","Orchard Valley Farm,cilantro,7201,LBS",7201,2332,"NB NUT BUTTER CO., CASE, SMOOTH PEANUT MIX VEG, 20 X 1LB EA","Orchard Valley Farm_63","63","false"
"2021-10-25","Item","TR64","64","Red Barn Farms","H64","Red Barn Farms,Item,9628,LBS",9628,9720,"SALTY SMOKER BRAND, COLD SMOKED VEG, 40 X 8 OZ PACK","Red Barn Farms_64","64","false"
"2022-10-06","kale","TR65","65","Starview Farms","H65","Starview Farms,kale,2174,LBS",2174,4989,"ACME BRAND, FROZEN SALAD, 25 LB CASE","Starview Farms_65","65","false"
"2022-01-18","kale","TR66","66","Starview Farms","H66","Starview Farms,kale,1809,LBS",1809,8975,"ACME BRAND, FROZEN SALAD, 25 LB CASE","Starview Farms_66","66","false"
"2022-10-12","bell peppers","TR67","67","Sunny Fields Farm ","H67","Sunny Fields Farm ,bell peppers,5535,LBS",5535,5378,"BIGSTORE BRAND, FROZEN VEG MEAL , 20 LB CASE","Sunny Fields Farm _67","67","false"
"2021-12-04","bell peppers","TR68","68","Sunny Fields Farm ","H68","Sunny Fields Farm ,bell peppers,5599,LBS",5599,759,"SALTY SMOKER BRAND, COLD SMOKED VEG, 40 X 8 OZ PACK","Sunny Fields Farm _68","68","false"
"2023-02-24","chili peppers","TR69","69","Harvest Moon Farms","H69","Harvest Moon Farms,chili peppers,5919,LBS",5919,3853,"SALTY SMOKER BRAND, COLD SMOKED VEG, 40 X 8 OZ PACK","Harvest Moon Farms_69","69","false"
"2021-11-20","parsley","TR70","70","Sunnydale Farm","H70","Sunnydale Farm,parsley,7913,LBS",7913,1811,"BIGSTORE BRAND, FROZEN VEG MEAL , 20 LB CASE","Sunnydale Farm_70","70","true"
"2022-11-02","basil","TR71","71","Orchard Valley Farm","H71","Orchard Valley Farm,basil,7020,LBS",7020,4395,"FRESH PROCESSOR BRAND, GARDEN SALAD KIT, 10x12 OZ BAGS","Orchard Valley Farm_71","71","false"
"2022-01-03","kale","TR72","72","Starview Farms","H72","Starview Farms,kale,2126,LBS",2126,202,"CHARLES CHEESE CO. BRAND, FETA VEG CHEESE, 40 X 8 OZ EA","Starview Farms_72","72","false"
"2022-04-19","arugula","TR73","73","Potomac Vegetable Farms","H73","Potomac Vegetable Farms,arugula,2624,LBS",2624,2584,"SALTY SMOKER BRAND, COLD SMOKED VEG, 40 X 8 OZ PACK","Potomac Vegetable Farms_73","73","false"
"2021-12-08","cilantro","TR74","74","Sunnydale Farm","H74","Sunnydale Farm,cilantro,7801,LBS",7801,5015,"NB NUT BUTTER CO., CASE, SMOOTH PEANUT MIX VEG, 20 X 1LB EA","Sunnydale Farm_74","74","false"
"2022-06-27","arugula","TR75","75","Potomac Vegetable Farms","H75","Potomac Vegetable Farms,arugula,2328,LBS",2328,8049,"BIGSTORE BRAND, FROZEN VEG MEAL , 20 LB CASE","Potomac Vegetable Farms_75","75","false"
"2021-09-12","Item","TR76","76","Red Barn Farms","H76","Red Barn Farms,Item,9833,LBS",9833,1246,"SALTY SMOKER BRAND, COLD SMOKED VEG, 40 X 8 OZ PACK","Red Barn Farms_76","76","false"
"2023-02-09","parsley","TR77","77","Meadowbrook Farm","H77","Meadowbrook Farm,parsley,8056,LBS",8056,4216,"ACME BRAND, FROZEN SALAD, 25 LB CASE","Meadowbrook Farm_77","77","false"
"2021-11-16","parsley","TR78","78","Meadowbrook Farm","H78","Meadowbrook Farm,parsley,8380,LBS",8380,5893,"SALTY SMOKER BRAND, COLD SMOKED VEG, 40 X 8 OZ PACK","Meadowbrook Farm_78","78","true"
"2022-04-27","kale","TR79","79","Starview Farms","H79","Starview Farms,kale,1715,LBS",1715,2501,"BIGSTORE BRAND, FROZEN VEG MEAL , 20 LB CASE","Starview Farms_79","79","false"
"2023-01-23","chili peppers","TR80","80","Sweetwater Farm ","H80","Sweetwater Farm ,chili peppers,6411,LBS",6411,2971,"CHARLES CHEESE CO. BRAND, FETA VEG CHEESE, 40 X 8 OZ EA","Sweetwater Farm _80","80","true"
"2022-11-26","lettuce","TR81","81","Hidden gems Farm","H81","Hidden gems Farm,lettuce,187,LBS",187,6536,"SALTY SMOKER BRAND, COLD SMOKED VEG, 40 X 8 OZ PACK","Hidden gems Farm_81","81","false"
"2022-03-19","chili peppers","TR82","82","Harvest Moon Farms","H82","Harvest Moon Farms,chili peppers,6349,LBS",6349,2810,"FRESH PROCESSOR BRAND, GARDEN SALAD KIT, 10x12 OZ BAGS","Harvest Moon Farms_82","82","false"
"2021-08-17","kale","TR83","83","Starview Farms","H83","Starview Farms,kale,2159,LBS",2159,6895,"CHARLES CHEESE CO. BRAND, FETA VEG CHEESE, 40 X 8 OZ EA","Starview Farms_83","83","true"
"2021-10-07","potato","TR84","84","Deep Root Farms","H84","Deep Root Farms,potato,8816,LBS",8816,7378,"NB NUT BUTTER CO., CASE, SMOOTH PEANUT MIX VEG, 20 X 1LB EA","Deep Root Farms_84","84","true"
"2022-03-16","basil","TR85","85","Orchard Valley Farm","H85","Orchard Valley Farm,basil,7100,LBS",7100,8946,"FRESH PROCESSOR BRAND, GARDEN SALAD KIT, 10x12 OZ BAGS","Orchard Valley Farm_85","85","false"
"2022-09-10","cilantro","TR86","86","Orchard Valley Farm","H86","Orchard Valley Farm,cilantro,7261,LBS",7261,6987,"CHARLES CHEESE CO. BRAND, FETA VEG CHEESE, 40 X 8 OZ EA","Orchard Valley Farm_86","86","false"
"2022-09-24","bell peppers","TR87","87","Green Acres Farm","H87","Green Acres Farm,bell peppers,5144,LBS",5144,8947,"SALTY SMOKER BRAND, COLD SMOKED VEG, 40 X 8 OZ PACK","Green Acres Farm_87","87","false"
"2021-11-03","Item","TR88","88","Red Barn Farms","H88","Red Barn Farms,Item,9872,LBS",9872,7450,"ACME BRAND, FROZEN SALAD, 25 LB CASE","Red Barn Farms_88","88","false"
"2022-11-15","kale","TR89","89","Cerritos Farm","H89","Cerritos Farm,kale,1617,LBS",1617,1908,"FRESH PROCESSOR BRAND, GARDEN SALAD KIT, 10x12 OZ BAGS","Cerritos Farm_89","89","false"
"2022-08-30","basil","TR90","90","Orchard Valley Farm","H90","Orchard Valley Farm,basil,7135,LBS",7135,1704,"FRESH PROCESSOR BRAND, GARDEN SALAD KIT, 10x12 OZ BAGS","Orchard Valley Farm_90","90","false"
"2022-05-08","parsley","TR91","91","Meadowbrook Farm","H91","Meadowbrook Farm,parsley,8257,LBS",8257,4772,"NB NUT BUTTER CO., CASE, SMOOTH PEANUT MIX VEG, 20 X 1LB EA","Meadowbrook Farm_91","91","true"
"2021-09-15","spinach","TR92","92","Cerritos Farm","H92","Cerritos Farm,spinach,1324,LBS",1324,8792,"FRESH PROCESSOR BRAND, GARDEN SALAD KIT, 10x12 OZ BAGS","Cerritos Farm_92","92","true"
"2022-06-08","chili peppers","TR93","93","Harvest Moon Farms","H93","Harvest Moon Farms,chili peppers,6208,LBS",6208,2903,"CHARLES CHEESE CO. BRAND, FETA VEG CHEESE, 40 X 8 OZ EA","Harvest Moon Farms_93","93","false"
"2023-01-20","Cucumbers","TR94","94","Green Acres Farm","H94","Green Acres Farm,Cucumbers,4870,LBS",4870,724,"CHARLES CHEESE CO. BRAND, FETA VEG CHEESE, 40 X 8 OZ EA","Green Acres Farm_94","94","false"
"2022-03-12","spinach","TR95","95","Mena Farm","H95","Mena Farm,spinach,1088,LBS",1088,6539,"FRESH PROCESSOR BRAND, GARDEN SALAD KIT, 10x12 OZ BAGS","Mena Farm_95","95","false"
"2022-01-19","chili peppers","TR96","96","Harvest Moon Farms","H96","Harvest Moon Farms,chili peppers,6210,LBS",6210,1734,"BIGSTORE BRAND, FROZEN VEG MEAL , 20 LB CASE","Harvest Moon Farms_96","96","false"
"2021-09-05","lettuce","TR97","97","Hidden gems Farm","H97","Hidden gems Farm,lettuce,378,LBS",378,821,"ACME BRAND, FROZEN SALAD, 25 LB CASE","Hidden gems Farm_97","97","false"
"2021-08-06","chili peppers","TR98","98","Harvest Moon Farms","H98","Harvest Moon Farms,chili peppers,5955,LBS",5955,675,"CHARLES CHEESE CO. BRAND, FETA VEG CHEESE, 40 X 8 OZ EA","Harvest Moon Farms_98","98","false"
"2021-08-14","spinach","TR99","99","Mena Farm","H99","Mena Farm,spinach,823,LBS",823,8850,"FRESH PROCESSOR BRAND, GARDEN SALAD KIT, 10x12 OZ BAGS","Mena Farm_99","99","false"
"2022-08-10","spinach","TR100","100","Mena Farm","H100","Mena Farm,spinach,833,LBS",833,7077,"SALTY SMOKER BRAND, COLD SMOKED VEG, 40 X 8 OZ PACK","Mena Farm_100","100","true"
"2022-03-13","basil","TR101","101","Sweetwater Farm ","H101","Sweetwater Farm ,basil,6831,LBS",6831,1144,"NB NUT BUTTER CO., CASE, SMOOTH PEANUT MIX VEG, 20 X 1LB EA","Sweetwater Farm _101","101","false"
"2022-11-18","arugula","TR102","102","scissortail farms","H102","scissortail farms,arugula,2872,LBS",2872,8071,"BIGSTORE BRAND, FROZEN VEG MEAL , 20 LB CASE","scissortail farms_102","102","false"
"2022-02-28","chili peppers","TR103","103","Harvest Moon Farms","H103","Harvest Moon Farms,chili peppers,6079,LBS",6079,5151,"BIGSTORE BRAND, FROZEN VEG MEAL , 20 LB CASE","Harvest Moon Farms_103","103","false"
"2022-02-14","parsley","TR104","104","Deep Root Farms","H104","Deep Root Farms,parsley,8511,LBS",8511,5487,"SALTY SMOKER BRAND, COLD SMOKED VEG, 40 X 8 OZ PACK","Deep Root Farms_104","104","true"
"2022-02-10","melons","TR105","105","roland farms","H105","roland farms,melons,3603,LBS",3603,9415,"CHARLES CHEESE CO. BRAND, FETA VEG CHEESE, 40 X 8 OZ EA","roland farms_105","105","false"
"2022-05-19","chili peppers","TR106","106","Harvest Moon Farms","H106","Harvest Moon Farms,chili peppers,6026,LBS",6026,4853,"SALTY SMOKER BRAND, COLD SMOKED VEG, 40 X 8 OZ PACK","Harvest Moon Farms_106","106","false"
"2022-02-08","melons","TR107","107","scissortail farms","H107","scissortail farms,melons,2992,LBS",2992,1156,"SALTY SMOKER BRAND, COLD SMOKED VEG, 40 X 8 OZ PACK","scissortail farms_107","107","false"
"2022-05-31","potato","TR108","108","Deep Root Farms","H108","Deep Root Farms,potato,8777,LBS",8777,5050,"NB NUT BUTTER CO., CASE, SMOOTH PEANUT MIX VEG, 20 X 1LB EA","Deep Root Farms_108","108","false"
"2022-07-20","cilantro","TR109","109","Sunnydale Farm","H109","Sunnydale Farm,cilantro,7468,LBS",7468,7687,"SALTY SMOKER BRAND, COLD SMOKED VEG, 40 X 8 OZ PACK","Sunnydale Farm_109","109","false"
"2023-02-05","Tomatoes","TR110","110","Stonehall Farm","H110","Stonehall Farm,Tomatoes,4290,LBS",4290,3922,"ACME BRAND, FROZEN SALAD, 25 LB CASE","Stonehall Farm_110","110","false"
"2023-01-28","Tomatoes","TR111","111","Burnt Mill Farm","H111","Burnt Mill Farm,Tomatoes,3821,LBS",3821,8952,"ACME BRAND, FROZEN SALAD, 25 LB CASE","Burnt Mill Farm_111","111","false"
"2021-10-08","arugula","TR112","112","scissortail farms","H112","scissortail farms,arugula,2786,LBS",2786,899,"FRESH PROCESSOR BRAND, GARDEN SALAD KIT, 10x12 OZ BAGS","scissortail farms_112","112","false"
"2022-01-02","cilantro","TR113","113","Orchard Valley Farm","H113","Orchard Valley Farm,cilantro,7325,LBS",7325,5578,"ACME BRAND, FROZEN SALAD, 25 LB CASE","Orchard Valley Farm_113","113","false"
"2022-12-26","potato","TR114","114","Deep Root Farms","H114","Deep Root Farms,potato,8879,LBS",8879,253,"NB NUT BUTTER CO., CASE, SMOOTH PEANUT MIX VEG, 20 X 1LB EA","Deep Root Farms_114","114","true"
"2022-09-08","lettuce","TR115","115","Hidden gems Farm","H115","Hidden gems Farm,lettuce,533,LBS",533,5287,"ACME BRAND, FROZEN SALAD, 25 LB CASE","Hidden gems Farm_115","115","false"
"2022-03-11","Cucumbers","TR116","116","Stonehall Farm","H116","Stonehall Farm,Cucumbers,4631,LBS",4631,6079,"BIGSTORE BRAND, FROZEN VEG MEAL , 20 LB CASE","Stonehall Farm_116","116","false"
"2021-08-15","potato","TR117","117","Deep Root Farms","H117","Deep Root Farms,potato,8638,LBS",8638,5008,"FRESH PROCESSOR BRAND, GARDEN SALAD KIT, 10x12 OZ BAGS","Deep Root Farms_117","117","false"
"2022-07-03","potato","TR118","118","Meadowlark Farm","H118","Meadowlark Farm,potato,9029,LBS",9029,470,"ACME BRAND, FROZEN SALAD, 25 LB CASE","Meadowlark Farm_118","118","false"
"2023-01-29","lettuce","TR119","119","Mena Farm","H119","Mena Farm,lettuce,719,LBS",719,8505,"SALTY SMOKER BRAND, COLD SMOKED VEG, 40 X 8 OZ PACK","Mena Farm_119","119","false"
"2022-04-16","cilantro","TR120","120","Sunnydale Farm","H120","Sunnydale Farm,cilantro,7662,LBS",7662,1177,"FRESH PROCESSOR BRAND, GARDEN SALAD KIT, 10x12 OZ BAGS","Sunnydale Farm_120","120","false"
"2022-07-25","Tomatoes","TR121","121","Stonehall Farm","H121","Stonehall Farm,Tomatoes,4334,LBS",4334,7591,"ACME BRAND, FROZEN SALAD, 25 LB CASE","Stonehall Farm_121","121","false"
